project,dataset,idx,ecs,tcr
CMIP5,--STD--,0,0.74,0.37
CMIP5,ACCESS1-0,1,3.83,1.92
CMIP5,ACCESS1-3,2,3.53,1.63
CMIP5,BNU-ESM,3,3.98,2.52
CMIP5,CCSM4,4,2.94,1.67
CMIP5,CNRM-CM5,5,3.25,2.02
CMIP5,CNRM-CM5-2,6,,1.79
CMIP5,CSIRO-Mk3-6-0,7,4.08,1.75
CMIP5,CanESM2,8,3.69,2.34
CMIP5,FGOALS-g2,9,3.38,1.38
CMIP5,FGOALS-s2,10,4.18,2.44
CMIP5,GFDL-CM3,11,3.97,1.94
CMIP5,GFDL-ESM2G,12,2.39,1.12
CMIP5,GFDL-ESM2M,13,2.44,1.36
CMIP5,GISS-E2-H,14,2.31,1.74
CMIP5,GISS-E2-R,15,2.11,1.46
CMIP5,HadGEM2-ES,16,4.61,2.54
CMIP5,IPSL-CM5A-LR,17,4.13,2.0
CMIP5,IPSL-CM5A-MR,18,,1.99
CMIP5,IPSL-CM5B-LR,19,2.6,1.53
CMIP5,MIROC-ESM,20,4.67,2.21
CMIP5,MIROC5,21,2.72,1.43
CMIP5,MPI-ESM-LR,22,3.63,2.03
CMIP5,MPI-ESM-MR,23,3.46,2.03
CMIP5,MPI-ESM-P,24,3.45,2.02
CMIP5,MRI-CGCM3,25,2.6,1.56
CMIP5,MultiModelMean,0,3.24,1.83
CMIP5,NorESM1-M,26,2.87,1.41
CMIP5,bcc-csm1-1,27,2.83,1.73
CMIP5,bcc-csm1-1-m,28,2.87,2.13
CMIP5,inmcm4,29,2.08,1.32
CMIP6,--STD--,0,1.1,0.41
CMIP6,ACCESS-CM2,30,4.72,2.1
CMIP6,ACCESS-ESM1-5,31,3.87,1.95
CMIP6,AWI-CM-1-1-MR,32,3.16,2.06
CMIP6,BCC-CSM2-MR,33,3.04,1.72
CMIP6,BCC-ESM1,34,3.26,1.78
CMIP6,CAMS-CSM1-0,35,2.29,1.73
CMIP6,CESM2,36,5.16,2.06
CMIP6,CESM2-WACCM,37,4.75,1.98
CMIP6,CNRM-CM6-1,38,4.83,2.14
CMIP6,CNRM-CM6-1-HR,39,4.28,2.48
CMIP6,CNRM-ESM2-1,40,4.76,1.86
CMIP6,CanESM5,41,5.62,2.74
CMIP6,E3SM-1-0,42,5.32,2.99
CMIP6,EC-Earth3,43,4.27,
CMIP6,EC-Earth3-Veg,44,4.31,2.62
CMIP6,FGOALS-f3-L,45,3.0,1.94
CMIP6,GFDL-CM4,46,3.87,2.05
CMIP6,GFDL-ESM4,47,2.62,1.61
CMIP6,GISS-E2-1-G,48,2.72,1.8
CMIP6,GISS-E2-1-H,49,3.11,1.93
CMIP6,GISS-E2-2-G,50,2.41,1.71
CMIP6,HadGEM3-GC31-LL,51,5.55,2.55
CMIP6,HadGEM3-GC31-MM,52,5.42,2.58
CMIP6,IITM-ESM,53,,1.71
CMIP6,INM-CM4-8,54,1.83,1.33
CMIP6,INM-CM5-0,55,1.92,
CMIP6,IPSL-CM6A-LR,56,4.56,2.32
CMIP6,KACE-1-0-G,57,4.77,2.02
CMIP6,MCM-UA-1-0,58,3.64,1.94
CMIP6,MIROC-ES2L,59,2.68,1.55
CMIP6,MIROC6,60,2.61,1.55
CMIP6,MPI-ESM1-2-HR,61,2.98,1.66
CMIP6,MPI-ESM1-2-LR,62,3.0,1.84
CMIP6,MRI-ESM2-0,63,3.15,1.64
CMIP6,MultiModelMean,0,3.75,2.02
CMIP6,NESM3,64,4.72,2.72
CMIP6,NorCPM1,65,,1.56
CMIP6,NorESM2-LM,66,2.54,1.48
CMIP6,SAM0-UNICON,67,3.72,2.27
CMIP6,UKESM1-0-LL,68,5.34,2.79
